time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,2095,0.000477327,2.9312e-05,2.4416e-05,9,9,9,9,14,14,9,18,0,0,0
1,2457,0.000407,2.8512e-05,2.3264e-05,9,9,9,9,14,14,9,18,0,0,0
2,2430,0.000411523,2.8096e-05,2.3648e-05,9,9,9,9,14,14,9,18,0,0,0
3,2385,0.000419287,2.7104e-05,2.3296e-05,9,9,9,9,14,14,9,18,0,0,0
4,2496,0.000400641,2.6848e-05,2.3136e-05,9,9,9,9,14,14,9,18,0,0,0
5,2501,0.00039984,2.7072e-05,2.3104e-05,9,9,9,9,14,14,9,18,0,0,0
6,2498,0.00040032,2.768e-05,2.2976e-05,9,9,9,9,14,14,9,18,0,0,0
7,2487,0.000402091,2.8416e-05,2.2272e-05,9,9,9,9,14,14,9,18,0,0,0
8,2461,0.000406339,2.8608e-05,2.3296e-05,9,9,9,9,14,14,9,18,0,0,0
9,2519,0.000396983,2.7712e-05,2.2336e-05,9,9,9,9,14,14,9,18,0,0,0
10,2473,0.000404367,2.7392e-05,2.368e-05,9,9,9,9,14,14,9,18,0,0,0
11,2435,0.000410678,2.8e-05,2.2816e-05,9,9,9,9,14,14,9,18,0,0,0
12,2517,0.000397298,2.7232e-05,2.288e-05,9,9,9,9,14,14,9,18,0,0,0
13,2504,0.000399361,2.7392e-05,2.2176e-05,9,9,9,9,14,14,9,18,0,0,0
14,2450,0.000408163,3.3568e-05,2.4e-05,9,9,9,9,14,14,9,18,0,0,0
15,2459,0.000406669,2.7968e-05,2.2816e-05,9,9,9,9,14,14,9,18,0,0,0
16,2423,0.000412712,2.7648e-05,2.2496e-05,9,9,9,9,14,14,9,18,0,0,0
17,2463,0.000406009,2.6784e-05,2.2688e-05,9,9,9,9,14,14,9,18,0,0,0
18,2499,0.00040016,2.7776e-05,2.2848e-05,9,9,9,9,14,14,9,18,0,0,0
19,2478,0.000403551,2.7456e-05,2.144e-05,9,9,9,9,14,14,9,18,0,0,0
20,2495,0.000400802,2.736e-05,2.224e-05,9,9,9,9,14,14,9,18,0,0,0
21,2446,0.000408831,2.7648e-05,2.2592e-05,9,9,9,9,14,14,9,18,0,0,0
22,2474,0.000404204,2.7296e-05,2.336e-05,9,9,9,9,14,14,9,18,0,0,0
23,2450,0.000408163,2.7232e-05,2.288e-05,9,9,9,9,14,14,9,18,0,0,0
24,2493,0.000401123,2.7104e-05,2.256e-05,9,9,9,9,14,14,9,18,0,0,0
25,2437,0.000410341,2.704e-05,2.2496e-05,9,9,9,9,14,14,9,18,0,0,0
26,2500,0.0004,2.7392e-05,2.3168e-05,9,9,9,9,14,14,9,18,0,0,0
27,2489,0.000401768,2.7168e-05,2.2048e-05,9,9,9,9,14,14,9,18,0,0,0
28,2429,0.000411692,2.7488e-05,2.3328e-05,9,9,9,9,14,14,9,18,0,0,0
29,2465,0.00040568,2.6592e-05,2.1856e-05,9,9,9,9,14,14,9,18,0,0,0
30,2502,0.00039968,2.7328e-05,2.208e-05,9,9,9,9,14,14,9,18,0,0,0
31,2454,0.000407498,2.8256e-05,2.4032e-05,9,9,9,9,14,14,9,18,0,0,0
32,2446,0.000408831,2.7968e-05,2.176e-05,9,9,9,9,14,14,9,18,0,0,0
33,2442,0.0004095,2.7776e-05,2.2336e-05,9,9,9,9,14,14,9,18,0,0,0
34,2504,0.000399361,2.7008e-05,2.304e-05,9,9,9,9,14,14,9,18,0,0,0
35,2487,0.000402091,2.7904e-05,2.3168e-05,9,9,9,9,14,14,9,18,0,0,0
36,2479,0.000403388,2.736e-05,2.2976e-05,9,9,9,9,14,14,9,18,0,0,0
37,2528,0.00039557,2.7872e-05,2.1952e-05,9,9,9,9,14,14,9,18,0,0,0
