time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,28,0.0357143,0.0187222,0.0120032,3359744,3359744,3359744,3356576,1679872,1679872,3359744,76,0.5,0,0
1,31,0.0322581,0.0187243,0.0120684,3359744,3359744,3359744,3351808,1679872,1679872,3359744,76,0.5,0,0
2,31,0.0322581,0.0187316,0.0120483,3359744,3359744,3359744,3357056,1679872,1679872,3359744,76,0.5,0,0
3,32,0.03125,0.0187209,0.0119753,3359744,3359744,3359744,3352832,1679872,1679872,3359744,76,0.5,0,0
4,31,0.0322581,0.0187317,0.0119217,3359744,3359744,3359744,3358752,1679872,1679872,3359744,76,0.5,0,0
5,32,0.03125,0.0187317,0.0120955,3359744,3359744,3359744,3359744,1679872,1679872,3359744,76,0.5,0,0
6,31,0.0322581,0.0187331,0.0119907,3359744,3359744,3359744,3358432,1679872,1679872,3359744,76,0.5,0,0
7,32,0.03125,0.0187186,0.0119234,3359744,3359744,3359744,3357984,1679872,1679872,3359744,76,0.5,0,0
8,31,0.0322581,0.0185351,0.0120776,3359744,3359744,3359744,3359008,1679872,1679872,3359744,76,0.5,0,0
9,32,0.03125,0.0187184,0.0120054,3359744,3359744,3359744,3356192,1679872,1679872,3359744,76,0.5,0,0
10,31,0.0322581,0.0187226,0.0121627,3359744,3359744,3359744,3359744,1679872,1679872,3359744,76,0.5,0,0
11,32,0.03125,0.0187217,0.0120719,3359744,3359744,3359744,3357536,1679872,1679872,3359744,76,0.5,0,0
12,31,0.0322581,0.0187223,0.0119199,3359744,3359744,3359744,3351744,1679872,1679872,3359744,76,0.5,0,0
13,32,0.03125,0.0187232,0.012061,3359744,3359744,3359744,3358528,1679872,1679872,3359744,76,0.5,0,0
14,31,0.0322581,0.0187197,0.0120069,3359744,3359744,3359744,3359616,1679872,1679872,3359744,76,0.5,0,0
15,31,0.0322581,0.0187313,0.0120077,3359744,3359744,3359744,3359104,1679872,1679872,3359744,76,0.5,0,0
16,32,0.03125,0.0189087,0.0120481,3359744,3359744,3359744,3358560,1679872,1679872,3359744,76,0.5,0,0
17,32,0.03125,0.0187225,0.0120869,3359744,3359744,3359744,3357504,1679872,1679872,3359744,76,0.5,0,0
18,31,0.0322581,0.0187217,0.0120362,3359744,3359744,3359744,3355136,1679872,1679872,3359744,76,0.5,0,0
19,31,0.0322581,0.0187196,0.012026,3359744,3359744,3359744,3351808,1679872,1679872,3359744,76,0.5,0,0
20,32,0.03125,0.018537,0.0119852,3359744,3359744,3359744,3359744,1679872,1679872,3359744,76,0.5,0,0
