time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,58,0.0172414,0.00767021,0.00483462,1360896,1360896,1360896,1359072,680448,680448,1360896,57,0.5,0,0
1,75,0.0133333,0.00767187,0.00496925,1360896,1360896,1360896,1360672,680448,680448,1360896,57,0.5,0,0
2,75,0.0133333,0.00765939,0.00491318,1360896,1360896,1360896,1358976,680448,680448,1360896,57,0.5,0,0
3,75,0.0133333,0.00747216,0.00486282,1360896,1360896,1360896,1359104,680448,680448,1360896,57,0.5,0,0
4,76,0.0131579,0.00746646,0.00498285,1360896,1360896,1360896,1359552,680448,680448,1360896,57,0.5,0,0
5,76,0.0131579,0.00765968,0.00494746,1360896,1360896,1360896,1359392,680448,680448,1360896,57,0.5,0,0
6,75,0.0133333,0.00768419,0.00491706,1360896,1360896,1360896,1359424,680448,680448,1360896,57,0.5,0,0
7,75,0.0133333,0.00746707,0.00489792,1360896,1360896,1360896,1359104,680448,680448,1360896,57,0.5,0,0
8,76,0.0131579,0.00766291,0.0049273,1360896,1360896,1360896,1359456,680448,680448,1360896,57,0.5,0,0
9,75,0.0133333,0.00746787,0.0049335,1360896,1360896,1360896,1358976,680448,680448,1360896,57,0.5,0,0
10,75,0.0133333,0.00747616,0.00497968,1360896,1360896,1360896,1358976,680448,680448,1360896,57,0.5,0,0
11,76,0.0131579,0.00746758,0.00493696,1360896,1360896,1360896,1359200,680448,680448,1360896,57,0.5,0,0
12,75,0.0133333,0.00746883,0.00497533,1360896,1360896,1360896,1358016,680448,680448,1360896,57,0.5,0,0
13,75,0.0133333,0.0074671,0.00493626,1360896,1360896,1360896,1359008,680448,680448,1360896,57,0.5,0,0
14,75,0.0133333,0.0074752,0.00497971,1360896,1360896,1360896,1358880,680448,680448,1360896,57,0.5,0,0
15,76,0.0131579,0.00767248,0.00493389,1360896,1360896,1360896,1359328,680448,680448,1360896,57,0.5,0,0
16,75,0.0133333,0.0074681,0.00494362,1360896,1360896,1360896,1360000,680448,680448,1360896,57,0.5,0,0
17,64,0.015625,0.00746803,0.00494038,1360896,1360896,1360896,1358752,680448,680448,1360896,57,0.5,0,0
18,76,0.0131579,0.0076608,0.00492086,1360896,1360896,1360896,1359520,680448,680448,1360896,57,0.5,0,0
19,75,0.0133333,0.00766416,0.004928,1360896,1360896,1360896,1359552,680448,680448,1360896,57,0.5,0,0
20,75,0.0133333,0.00747654,0.00495926,1360896,1360896,1360896,1359008,680448,680448,1360896,57,0.5,0,0
21,76,0.0131579,0.00766019,0.0049113,1360896,1360896,1360896,1359072,680448,680448,1360896,57,0.5,0,0
22,75,0.0133333,0.00765987,0.00493968,1360896,1360896,1360896,1359392,680448,680448,1360896,57,0.5,0,0
23,75,0.0133333,0.0076599,0.00492326,1360896,1360896,1360896,1359200,680448,680448,1360896,57,0.5,0,0
24,75,0.0133333,0.0076601,0.00497981,1360896,1360896,1360896,1359616,680448,680448,1360896,57,0.5,0,0
25,76,0.0131579,0.00767478,0.00495251,1360896,1360896,1360896,1359392,680448,680448,1360896,57,0.5,0,0
26,75,0.0133333,0.00746688,0.00494998,1360896,1360896,1360896,1359072,680448,680448,1360896,57,0.5,0,0
27,75,0.0133333,0.00746739,0.00494198,1360896,1360896,1360896,1359072,680448,680448,1360896,57,0.5,0,0
28,76,0.0131579,0.00765555,0.00497107,1360896,1360896,1360896,1359104,680448,680448,1360896,57,0.5,0,0
29,75,0.0133333,0.00747651,0.00491603,1360896,1360896,1360896,1359520,680448,680448,1360896,57,0.5,0,0
30,75,0.0133333,0.00747194,0.00493299,1360896,1360896,1360896,1359680,680448,680448,1360896,57,0.5,0,0
31,75,0.0133333,0.00747226,0.0049313,1360896,1360896,1360896,1360736,680448,680448,1360896,57,0.5,0,0
32,76,0.0131579,0.00766259,0.00494954,1360896,1360896,1360896,1359008,680448,680448,1360896,57,0.5,0,0
33,75,0.0133333,0.00746707,0.00492461,1360896,1360896,1360896,1357952,680448,680448,1360896,57,0.5,0,0
34,75,0.0133333,0.00747197,0.00491286,1360896,1360896,1360896,1359456,680448,680448,1360896,57,0.5,0,0
35,76,0.0131579,0.0074672,0.00495123,1360896,1360896,1360896,1359072,680448,680448,1360896,57,0.5,0,0
36,75,0.0133333,0.00747162,0.0048865,1360896,1360896,1360896,1359552,680448,680448,1360896,57,0.5,0,0
37,75,0.0133333,0.00746707,0.0049249,1360896,1360896,1360896,1359552,680448,680448,1360896,57,0.5,0,0
38,75,0.0133333,0.00747584,0.00493526,1360896,1360896,1360896,1359360,680448,680448,1360896,57,0.5,0,0
39,76,0.0131579,0.00746685,0.00487738,1360896,1360896,1360896,1359040,680448,680448,1360896,57,0.5,0,0
40,75,0.0133333,0.00746653,0.004968,1360896,1360896,1360896,1359104,680448,680448,1360896,57,0.5,0,0
41,76,0.0131579,0.00765891,0.00491219,1360896,1360896,1360896,1359424,680448,680448,1360896,57,0.5,0,0
42,76,0.0131579,0.0078193,0.0049473,1360896,1360896,1360896,1359008,680448,680448,1360896,57,0.5,0,0
43,75,0.0133333,0.00747555,0.0049265,1360896,1360896,1360896,1359552,680448,680448,1360896,57,0.5,0,0
44,69,0.0144928,0.00767139,0.00491325,1360896,1360896,1360896,1359040,680448,680448,1360896,57,0.5,0,0
45,75,0.0133333,0.00765254,0.0049569,1360896,1360896,1360896,1358752,680448,680448,1360896,57,0.5,0,0
46,75,0.0133333,0.00766138,0.0049071,1360896,1360896,1360896,1359232,680448,680448,1360896,57,0.5,0,0
47,75,0.0133333,0.00746717,0.00498038,1360896,1360896,1360896,1358848,680448,680448,1360896,57,0.5,0,0
48,76,0.0131579,0.00746701,0.00491382,1360896,1360896,1360896,1358976,680448,680448,1360896,57,0.5,0,0
49,75,0.0133333,0.00747309,0.00488947,1360896,1360896,1360896,1359488,680448,680448,1360896,57,0.5,0,0
