time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,28,0.0357143,0.0174519,0.0111736,3130368,3130368,3130368,3126592,1565184,1565184,3130368,75,0.5,0,0
1,34,0.0294118,0.0174555,0.0110974,3130368,3130368,3130368,3120448,1565184,1565184,3130368,75,0.5,0,0
2,33,0.030303,0.0174615,0.0112796,3130368,3130368,3130368,3127360,1565184,1565184,3130368,75,0.5,0,0
3,34,0.0294118,0.0174511,0.0111933,3130368,3130368,3130368,3127680,1565184,1565184,3130368,75,0.5,0,0
4,34,0.0294118,0.0174511,0.0112593,3130368,3130368,3130368,3120960,1565184,1565184,3130368,75,0.5,0,0
5,33,0.030303,0.0174537,0.011233,3130368,3130368,3130368,3123072,1565184,1565184,3130368,75,0.5,0,0
6,34,0.0294118,0.0174548,0.0111519,3130368,3130368,3130368,3120608,1565184,1565184,3130368,75,0.5,0,0
7,34,0.0294118,0.0176207,0.01131,3130368,3130368,3130368,3120928,1565184,1565184,3130368,75,0.5,0,0
8,33,0.030303,0.0174533,0.0111826,3130368,3130368,3130368,3120736,1565184,1565184,3130368,75,0.5,0,0
9,34,0.0294118,0.0174582,0.0110735,3130368,3130368,3130368,3121024,1565184,1565184,3130368,75,0.5,0,0
10,34,0.0294118,0.0178187,0.0112368,3130368,3130368,3130368,3122400,1565184,1565184,3130368,75,0.5,0,0
11,33,0.030303,0.0174609,0.0112439,3130368,3130368,3130368,3121120,1565184,1565184,3130368,75,0.5,0,0
12,34,0.0294118,0.0174495,0.0112468,3130368,3130368,3130368,3120896,1565184,1565184,3130368,75,0.5,0,0
13,34,0.0294118,0.0174532,0.0112596,3130368,3130368,3130368,3120480,1565184,1565184,3130368,75,0.5,0,0
14,34,0.0294118,0.0174613,0.0112558,3130368,3130368,3130368,3120256,1565184,1565184,3130368,75,0.5,0,0
15,33,0.030303,0.0174538,0.0112113,3130368,3130368,3130368,3121664,1565184,1565184,3130368,75,0.5,0,0
16,34,0.0294118,0.0174518,0.0111701,3130368,3130368,3130368,3120448,1565184,1565184,3130368,75,0.5,0,0
17,34,0.0294118,0.0174539,0.0111091,3130368,3130368,3130368,3122560,1565184,1565184,3130368,75,0.5,0,0
18,34,0.0294118,0.0174482,0.0111467,3130368,3130368,3130368,3125952,1565184,1565184,3130368,75,0.5,0,0
19,33,0.030303,0.0174597,0.0111996,3130368,3130368,3130368,3127712,1565184,1565184,3130368,75,0.5,0,0
20,34,0.0294118,0.0174528,0.0112098,3130368,3130368,3130368,3128864,1565184,1565184,3130368,75,0.5,0,0
21,34,0.0294118,0.0174533,0.0111285,3130368,3130368,3130368,3120512,1565184,1565184,3130368,75,0.5,0,0
22,33,0.030303,0.0174514,0.011239,3130368,3130368,3130368,3120384,1565184,1565184,3130368,75,0.5,0,0
23,34,0.0294118,0.017453,0.0111718,3130368,3130368,3130368,3120608,1565184,1565184,3130368,75,0.5,0,0
24,29,0.0344828,0.0174474,0.0111844,3130368,3130368,3130368,3120896,1565184,1565184,3130368,75,0.5,0,0
25,33,0.030303,0.0174537,0.011219,3130368,3130368,3130368,3120992,1565184,1565184,3130368,75,0.5,0,0
26,34,0.0294118,0.0174607,0.0111401,3130368,3130368,3130368,3120512,1565184,1565184,3130368,75,0.5,0,0
27,34,0.0294118,0.0174526,0.011267,3130368,3130368,3130368,3126656,1565184,1565184,3130368,75,0.5,0,0
28,33,0.030303,0.0174614,0.011243,3130368,3130368,3130368,3120192,1565184,1565184,3130368,75,0.5,0,0
29,34,0.0294118,0.0176181,0.0112291,3130368,3130368,3130368,3129024,1565184,1565184,3130368,75,0.5,0,0
30,34,0.0294118,0.0174526,0.011201,3130368,3130368,3130368,3122112,1565184,1565184,3130368,75,0.5,0,0
31,34,0.0294118,0.0174552,0.0111933,3130368,3130368,3130368,3120192,1565184,1565184,3130368,75,0.5,0,0
32,33,0.030303,0.0174506,0.0111906,3130368,3130368,3130368,3120608,1565184,1565184,3130368,75,0.5,0,0
33,34,0.0294118,0.0174559,0.0111775,3130368,3130368,3130368,3120416,1565184,1565184,3130368,75,0.5,0,0
