time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,21,0.047619,0.0220036,0.01345,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
1,28,0.0357143,0.0216272,0.0134906,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
2,28,0.0357143,0.0216408,0.0133852,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
3,28,0.0357143,0.0216265,0.0133543,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
4,28,0.0357143,0.0216328,0.0133836,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
5,28,0.0357143,0.0216235,0.0133555,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
6,28,0.0357143,0.0216398,0.0133313,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
7,28,0.0357143,0.0218304,0.0134941,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
8,28,0.0357143,0.0216225,0.0134105,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
9,28,0.0357143,0.0216359,0.013391,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
10,28,0.0357143,0.0220023,0.0133242,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
11,28,0.0357143,0.0216272,0.013314,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
12,28,0.0357143,0.0216348,0.0133814,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
13,28,0.0357143,0.0216231,0.0134592,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
14,28,0.0357143,0.0216267,0.0135807,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
15,28,0.0357143,0.0216273,0.0134404,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
16,29,0.0344828,0.0220042,0.0134519,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
17,28,0.0357143,0.0218105,0.0133746,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
18,28,0.0357143,0.0216244,0.0134197,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
19,28,0.0357143,0.0216174,0.0134107,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
20,28,0.0357143,0.0216245,0.013468,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
21,28,0.0357143,0.0216233,0.0133188,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
22,28,0.0357143,0.02163,0.0133932,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
23,28,0.0357143,0.0216371,0.0134128,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
24,24,0.0416667,0.0216327,0.0134104,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
25,28,0.0357143,0.0218161,0.0133794,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
26,28,0.0357143,0.0216244,0.0133225,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
27,28,0.0357143,0.0216343,0.0133379,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
28,28,0.0357143,0.0216226,0.0133619,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
29,28,0.0357143,0.0216242,0.0133374,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
30,28,0.0357143,0.0216372,0.0134228,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
31,28,0.0357143,0.0216275,0.01333,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
32,28,0.0357143,0.0216285,0.0134432,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
33,28,0.0357143,0.0220655,0.0133588,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
34,28,0.0357143,0.0216194,0.0135974,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
35,28,0.0357143,0.021622,0.0134521,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
36,28,0.0357143,0.0216251,0.0135242,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
37,28,0.0357143,0.0216228,0.0133843,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
38,28,0.0357143,0.0216328,0.0134587,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
39,28,0.0357143,0.0216249,0.0134383,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
40,28,0.0357143,0.0216268,0.0134814,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
41,28,0.0357143,0.0218166,0.0134795,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0
