time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,11,0.0909091,0.0742042,0.00163178,443392,443392,443392,442784,27712,27712,443392,21,0.05,0,0
1,13,0.0769231,0.0752653,0.00160954,443392,443392,443392,441568,27712,27712,443392,21,0.05,0,0
2,13,0.0769231,0.0742217,0.00163213,443392,443392,443392,441312,27712,27712,443392,21,0.05,0,0
3,13,0.0769231,0.0742094,0.00164813,443392,443392,443392,441856,27712,27712,443392,21,0.05,0,0
4,13,0.0769231,0.0747709,0.00162397,443392,443392,443392,442048,27712,27712,443392,21,0.05,0,0
5,13,0.0769231,0.0742157,0.00163965,443392,443392,443392,441632,27712,27712,443392,21,0.05,0,0
6,12,0.0833333,0.0742394,0.00164048,443392,443392,443392,441472,27712,27712,443392,21,0.05,0,0
7,13,0.0769231,0.074733,0.00163482,443392,443392,443392,441984,27712,27712,443392,21,0.05,0,0
8,13,0.0769231,0.0747588,0.00165558,443392,443392,443392,442272,27712,27712,443392,21,0.05,0,0
9,13,0.0769231,0.0742075,0.00164054,443392,443392,443392,441792,27712,27712,443392,21,0.05,0,0
10,13,0.0769231,0.0753297,0.00163558,443392,443392,443392,441280,27712,27712,443392,21,0.05,0,0
11,13,0.0769231,0.0748012,0.00162966,443392,443392,443392,441248,27712,27712,443392,21,0.05,0,0
12,13,0.0769231,0.0742224,0.0016392,443392,443392,443392,442304,27712,27712,443392,21,0.05,0,0
13,13,0.0769231,0.0742351,0.0015991,443392,443392,443392,441568,27712,27712,443392,21,0.05,0,0
14,13,0.0769231,0.074753,0.00164672,443392,443392,443392,435648,27712,27712,443392,21,0.05,0,0
15,12,0.0833333,0.0742457,0.00160378,443392,443392,443392,441408,27712,27712,443392,21,0.05,0,0
16,13,0.0769231,0.0741962,0.00160525,443392,443392,443392,442144,27712,27712,443392,21,0.05,0,0
17,13,0.0769231,0.0747412,0.00162202,443392,443392,443392,442144,27712,27712,443392,21,0.05,0,0
18,13,0.0769231,0.0747751,0.00163834,443392,443392,443392,441760,27712,27712,443392,21,0.05,0,0
19,13,0.0769231,0.0747683,0.00164957,443392,443392,443392,440800,27712,27712,443392,21,0.05,0,0
20,13,0.0769231,0.0747695,0.00163274,443392,443392,443392,441184,27712,27712,443392,21,0.05,0,0
21,13,0.0769231,0.074768,0.0016312,443392,443392,443392,441600,27712,27712,443392,21,0.05,0,0
22,13,0.0769231,0.0747038,0.00166106,443392,443392,443392,443136,27712,27712,443392,21,0.05,0,0
23,13,0.0769231,0.0747905,0.00160374,443392,443392,443392,441728,27712,27712,443392,21,0.05,0,0
24,13,0.0769231,0.0747665,0.00164544,443392,443392,443392,441632,27712,27712,443392,21,0.05,0,0
25,13,0.0769231,0.0742198,0.00158019,443392,443392,443392,441536,27712,27712,443392,21,0.05,0,0
26,13,0.0769231,0.0747779,0.00164346,443392,443392,443392,441248,27712,27712,443392,21,0.05,0,0
27,13,0.0769231,0.0747734,0.00158723,443392,443392,443392,441888,27712,27712,443392,21,0.05,0,0
28,13,0.0769231,0.0742155,0.00163789,443392,443392,443392,442016,27712,27712,443392,21,0.05,0,0
29,13,0.0769231,0.0747697,0.00163869,443392,443392,443392,442080,27712,27712,443392,21,0.05,0,0
30,12,0.0833333,0.0747618,0.00163661,443392,443392,443392,441632,27712,27712,443392,21,0.05,0,0
31,13,0.0769231,0.0747333,0.00163446,443392,443392,443392,441376,27712,27712,443392,21,0.05,0,0
32,13,0.0769231,0.0742338,0.00161734,443392,443392,443392,441280,27712,27712,443392,21,0.05,0,0
33,13,0.0769231,0.0747371,0.00164397,443392,443392,443392,441568,27712,27712,443392,21,0.05,0,0
34,13,0.0769231,0.074217,0.00161853,443392,443392,443392,442240,27712,27712,443392,21,0.05,0,0
35,13,0.0769231,0.0747762,0.00163891,443392,443392,443392,442016,27712,27712,443392,21,0.05,0,0
36,13,0.0769231,0.0747581,0.00161306,443392,443392,443392,442112,27712,27712,443392,21,0.05,0,0
37,13,0.0769231,0.0742103,0.00163594,443392,443392,443392,441504,27712,27712,443392,21,0.05,0,0
38,13,0.0769231,0.0747389,0.00161197,443392,443392,443392,442272,27712,27712,443392,21,0.05,0,0
39,13,0.0769231,0.0747303,0.00158688,443392,443392,443392,441184,27712,27712,443392,21,0.05,0,0
40,13,0.0769231,0.0747542,0.0016529,443392,443392,443392,440576,27712,27712,443392,21,0.05,0,0
41,13,0.0769231,0.0747572,0.0016432,443392,443392,443392,441440,27712,27712,443392,21,0.05,0,0
42,13,0.0769231,0.07476,0.00160739,443392,443392,443392,441792,27712,27712,443392,21,0.05,0,0
43,13,0.0769231,0.0742015,0.00164355,443392,443392,443392,441728,27712,27712,443392,21,0.05,0,0
44,12,0.0833333,0.0742066,0.00160986,443392,443392,443392,441504,27712,27712,443392,21,0.05,0,0
45,13,0.0769231,0.0747982,0.00161638,443392,443392,443392,441728,27712,27712,443392,21,0.05,0,0
46,13,0.0769231,0.0747407,0.00162026,443392,443392,443392,441440,27712,27712,443392,21,0.05,0,0
47,13,0.0769231,0.0742186,0.00159885,443392,443392,443392,441600,27712,27712,443392,21,0.05,0,0
48,13,0.0769231,0.0747072,0.0016399,443392,443392,443392,441984,27712,27712,443392,21,0.05,0,0
49,13,0.0769231,0.0747554,0.00163667,443392,443392,443392,441504,27712,27712,443392,21,0.05,0,0
50,13,0.0769231,0.0741887,0.00165226,443392,443392,443392,441632,27712,27712,443392,21,0.05,0,0
51,13,0.0769231,0.0752843,0.0016472,443392,443392,443392,442304,27712,27712,443392,21,0.05,0,0
52,13,0.0769231,0.0747339,0.00162768,443392,443392,443392,441632,27712,27712,443392,21,0.05,0,0
53,13,0.0769231,0.0754019,0.00171155,443392,443392,443392,440352,27712,27712,443392,21,0.05,0,0
54,13,0.0769231,0.074202,0.001636,443392,443392,443392,441600,27712,27712,443392,21,0.05,0,0
55,13,0.0769231,0.0753458,0.00159197,443392,443392,443392,440160,27712,27712,443392,21,0.05,0,0
56,13,0.0769231,0.0742152,0.00163952,443392,443392,443392,441760,27712,27712,443392,21,0.05,0,0
57,13,0.0769231,0.0742294,0.00164038,443392,443392,443392,441216,27712,27712,443392,21,0.05,0,0
58,13,0.0769231,0.0747314,0.00164272,443392,443392,443392,441632,27712,27712,443392,21,0.05,0,0
59,12,0.0833333,0.0747246,0.00164288,443392,443392,443392,442112,27712,27712,443392,21,0.05,0,0
60,13,0.0769231,0.0742439,0.00164541,443392,443392,443392,441792,27712,27712,443392,21,0.05,0,0
