time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,11,0.0909091,0.074746,0.00162512,443392,443392,443392,441568,69280,69280,443392,21,0.15,0,0
1,13,0.0769231,0.0742366,0.00161987,443392,443392,443392,441504,69280,69280,443392,21,0.15,0,0
2,13,0.0769231,0.0747767,0.00159254,443392,443392,443392,441504,69280,69280,443392,21,0.15,0,0
3,13,0.0769231,0.0744255,0.0016344,443392,443392,443392,442208,69280,69280,443392,21,0.15,0,0
4,12,0.0833333,0.0747315,0.00164541,443392,443392,443392,442176,69280,69280,443392,21,0.15,0,0
5,13,0.0769231,0.0741939,0.00164048,443392,443392,443392,441792,69280,69280,443392,21,0.15,0,0
6,13,0.0769231,0.0748133,0.00161475,443392,443392,443392,441248,69280,69280,443392,21,0.15,0,0
7,13,0.0769231,0.0747573,0.00161853,443392,443392,443392,442112,69280,69280,443392,21,0.15,0,0
8,13,0.0769231,0.0742416,0.00160256,443392,443392,443392,441920,69280,69280,443392,21,0.15,0,0
9,13,0.0769231,0.074728,0.00165187,443392,443392,443392,441536,69280,69280,443392,21,0.15,0,0
10,13,0.0769231,0.0743936,0.00160806,443392,443392,443392,441824,69280,69280,443392,21,0.15,0,0
11,13,0.0769231,0.0742031,0.00158589,443392,443392,443392,440480,69280,69280,443392,21,0.15,0,0
12,13,0.0769231,0.0748363,0.00160797,443392,443392,443392,441920,69280,69280,443392,21,0.15,0,0
13,13,0.0769231,0.0747439,0.00162637,443392,443392,443392,441504,69280,69280,443392,21,0.15,0,0
14,13,0.0769231,0.0742277,0.00161469,443392,443392,443392,441408,69280,69280,443392,21,0.15,0,0
15,12,0.0833333,0.0741959,0.00163341,443392,443392,443392,441184,69280,69280,443392,21,0.15,0,0
16,13,0.0769231,0.0752466,0.00162794,443392,443392,443392,441248,69280,69280,443392,21,0.15,0,0
17,13,0.0769231,0.0741932,0.00164541,443392,443392,443392,441760,69280,69280,443392,21,0.15,0,0
18,13,0.0769231,0.0741956,0.00164611,443392,443392,443392,441536,69280,69280,443392,21,0.15,0,0
19,13,0.0769231,0.0747229,0.00159898,443392,443392,443392,440128,69280,69280,443392,21,0.15,0,0
20,13,0.0769231,0.0747136,0.00163834,443392,443392,443392,442016,69280,69280,443392,21,0.15,0,0
21,13,0.0769231,0.0747686,0.00157062,443392,443392,443392,442272,69280,69280,443392,21,0.15,0,0
22,13,0.0769231,0.0747707,0.00163187,443392,443392,443392,441568,69280,69280,443392,21,0.15,0,0
23,13,0.0769231,0.0747325,0.00163622,443392,443392,443392,441888,69280,69280,443392,21,0.15,0,0
24,13,0.0769231,0.0746547,0.00163139,443392,443392,443392,441440,69280,69280,443392,21,0.15,0,0
25,13,0.0769231,0.0748718,0.0016343,443392,443392,443392,442240,69280,69280,443392,21,0.15,0,0
26,13,0.0769231,0.0752004,0.00161219,443392,443392,443392,441568,69280,69280,443392,21,0.15,0,0
27,12,0.0833333,0.0751889,0.00163834,443392,443392,443392,435712,69280,69280,443392,21,0.15,0,0
28,13,0.0769231,0.0746264,0.00164838,443392,443392,443392,441920,69280,69280,443392,21,0.15,0,0
29,13,0.0769231,0.0746642,0.00162125,443392,443392,443392,441472,69280,69280,443392,21,0.15,0,0
30,13,0.0769231,0.075174,0.00164096,443392,443392,443392,442272,69280,69280,443392,21,0.15,0,0
31,13,0.0769231,0.0751353,0.00164493,443392,443392,443392,441728,69280,69280,443392,21,0.15,0,0
32,13,0.0769231,0.075195,0.00158595,443392,443392,443392,441536,69280,69280,443392,21,0.15,0,0
33,12,0.0833333,0.0746288,0.00163709,443392,443392,443392,439936,69280,69280,443392,21,0.15,0,0
34,13,0.0769231,0.074682,0.00165872,443392,443392,443392,442112,69280,69280,443392,21,0.15,0,0
35,13,0.0769231,0.0751595,0.00161658,443392,443392,443392,441952,69280,69280,443392,21,0.15,0,0
36,13,0.0769231,0.0751959,0.00167293,443392,443392,443392,440224,69280,69280,443392,21,0.15,0,0
37,13,0.0769231,0.0751832,0.00160368,443392,443392,443392,440864,69280,69280,443392,21,0.15,0,0
38,13,0.0769231,0.0746473,0.00164358,443392,443392,443392,441600,69280,69280,443392,21,0.15,0,0
39,13,0.0769231,0.0757248,0.00164726,443392,443392,443392,435360,69280,69280,443392,21,0.15,0,0
40,12,0.0833333,0.0751695,0.00163386,443392,443392,443392,441760,69280,69280,443392,21,0.15,0,0
41,13,0.0769231,0.0746564,0.00162429,443392,443392,443392,442048,69280,69280,443392,21,0.15,0,0
42,13,0.0769231,0.075208,0.00165939,443392,443392,443392,442048,69280,69280,443392,21,0.15,0,0
43,13,0.0769231,0.0746459,0.00158912,443392,443392,443392,441472,69280,69280,443392,21,0.15,0,0
