time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,11,0.0909091,0.0753823,0.00161571,443392,443392,443392,440768,249408,249408,443392,21,0.55,0,0
1,12,0.0833333,0.0752574,0.00164925,443392,443392,443392,440480,249408,249408,443392,21,0.55,0,0
2,13,0.0769231,0.0746397,0.00163642,443392,443392,443392,441248,249408,249408,443392,21,0.55,0,0
3,13,0.0769231,0.0746179,0.00165018,443392,443392,443392,441984,249408,249408,443392,21,0.55,0,0
4,13,0.0769231,0.0751605,0.00164838,443392,443392,443392,441376,249408,249408,443392,21,0.55,0,0
5,13,0.0769231,0.0751937,0.00165277,443392,443392,443392,440384,249408,249408,443392,21,0.55,0,0
6,12,0.0833333,0.0751927,0.00163693,443392,443392,443392,441536,249408,249408,443392,21,0.55,0,0
7,13,0.0769231,0.0746428,0.00161885,443392,443392,443392,441920,249408,249408,443392,21,0.55,0,0
8,13,0.0769231,0.0751753,0.00162362,443392,443392,443392,440576,249408,249408,443392,21,0.55,0,0
9,13,0.0769231,0.0751399,0.00159763,443392,443392,443392,441888,249408,249408,443392,21,0.55,0,0
10,13,0.0769231,0.0751423,0.0016465,443392,443392,443392,441440,249408,249408,443392,21,0.55,0,0
11,13,0.0769231,0.0746361,0.00164016,443392,443392,443392,441920,249408,249408,443392,21,0.55,0,0
12,12,0.0833333,0.0751672,0.00162397,443392,443392,443392,441280,249408,249408,443392,21,0.55,0,0
13,13,0.0769231,0.0751611,0.00164154,443392,443392,443392,439680,249408,249408,443392,21,0.55,0,0
14,13,0.0769231,0.074634,0.00159334,443392,443392,443392,442048,249408,249408,443392,21,0.55,0,0
15,13,0.0769231,0.0751666,0.00162358,443392,443392,443392,440480,249408,249408,443392,21,0.55,0,0
16,13,0.0769231,0.0752146,0.00164445,443392,443392,443392,441312,249408,249408,443392,21,0.55,0,0
17,13,0.0769231,0.0751902,0.00164643,443392,443392,443392,441152,249408,249408,443392,21,0.55,0,0
18,12,0.0833333,0.0746286,0.00163824,443392,443392,443392,440736,249408,249408,443392,21,0.55,0,0
19,13,0.0769231,0.0746334,0.00162086,443392,443392,443392,442208,249408,249408,443392,21,0.55,0,0
20,13,0.0769231,0.0757329,0.00162941,443392,443392,443392,439424,249408,249408,443392,21,0.55,0,0
21,13,0.0769231,0.0752276,0.0016119,443392,443392,443392,440160,249408,249408,443392,21,0.55,0,0
22,13,0.0769231,0.07519,0.00165501,443392,443392,443392,440960,249408,249408,443392,21,0.55,0,0
23,13,0.0769231,0.0751873,0.00166211,443392,443392,443392,442144,249408,249408,443392,21,0.55,0,0
24,13,0.0769231,0.0746532,0.00160525,443392,443392,443392,441536,249408,249408,443392,21,0.55,0,0
25,12,0.0833333,0.0749086,0.00162448,443392,443392,443392,441536,249408,249408,443392,21,0.55,0,0
26,13,0.0769231,0.0752045,0.0016296,443392,443392,443392,441536,249408,249408,443392,21,0.55,0,0
27,13,0.0769231,0.075226,0.00161251,443392,443392,443392,440704,249408,249408,443392,21,0.55,0,0
28,13,0.0769231,0.0746431,0.0016344,443392,443392,443392,442048,249408,249408,443392,21,0.55,0,0
29,13,0.0769231,0.0758229,0.00163453,443392,443392,443392,437632,249408,249408,443392,21,0.55,0,0
30,13,0.0769231,0.0751889,0.00164573,443392,443392,443392,441408,249408,249408,443392,21,0.55,0,0
31,12,0.0833333,0.0751618,0.00162323,443392,443392,443392,441152,249408,249408,443392,21,0.55,0,0
32,13,0.0769231,0.0751989,0.00161587,443392,443392,443392,441728,249408,249408,443392,21,0.55,0,0
33,13,0.0769231,0.0746364,0.00161952,443392,443392,443392,442208,249408,249408,443392,21,0.55,0,0
34,13,0.0769231,0.075191,0.00164742,443392,443392,443392,441888,249408,249408,443392,21,0.55,0,0
35,13,0.0769231,0.0752285,0.00163693,443392,443392,443392,440896,249408,249408,443392,21,0.55,0,0
